ID,Title,Epic,Milestone,Priority,Size,Type,Status,Blocked by,Labels,Outcome,Local brief,Issue body
HUD-001,Bootstrap the lean pnpm workspace and publishable package skeleton,E00,M0,P0,M,task,planned,,"area:packaging, area:tooling, epic:E00, milestone:M0, priority:P0, size:M, type:task","A clone-ready pnpm workspace exists with one publishable `@scope/three-hud` package, one vanilla playground consumer, one packed external-consumer fixture, and no application-only dependencies in the library package.",planning/tickets/E00/HUD-001-bootstrap-the-lean-pnpm-workspace-and-publishable-package-skeleton.md,planning/github/issue-bodies/HUD-001.md
HUD-002,Establish source-of-truth documents and the agent operating guide,E00,M0,P0,M,docs,planned,HUD-001,"area:docs, epic:E00, milestone:M0, priority:P0, size:M, type:docs, type:governance","Every contributor and coding agent can determine which file owns product scope, architecture, decisions, execution status, evidence, and release truth without reading a giant append-only context document.",planning/tickets/E00/HUD-002-establish-source-of-truth-documents-and-the-agent-operating-guide.md,planning/github/issue-bodies/HUD-002.md
HUD-003,"Define fast, full, and release quality command matrices",E00,M0,P0,M,task,planned,HUD-001,"area:quality, area:tooling, epic:E00, milestone:M0, priority:P0, size:M, type:task","The repository exposes predictable `validate:fast`, `validate:full`, and `validate:release` gates modelled on the strongest verification patterns in the reference projects, without inheriting their application-specific complexity.",planning/tickets/E00/HUD-003-define-fast-full-and-release-quality-command-matrices.md,planning/github/issue-bodies/HUD-003.md
HUD-004,Create typed module contracts and an executable boundary checker,E00,M0,P0,L,task,planned,HUD-001,"area:architecture, area:tooling, epic:E00, milestone:M0, priority:P0, size:L, type:task","Module dependency direction is explicit in both TypeScript metadata and a CI checker, preventing widgets, core contracts, and consumers from coupling to concrete text backends or application code.",planning/tickets/E00/HUD-004-create-typed-module-contracts-and-an-executable-boundary-checker.md,planning/github/issue-bodies/HUD-004.md
HUD-005,"Prepare GitHub issue forms, labels, Project fields, and mirror protocol",E00,M0,P1,M,task,planned,"HUD-002, HUD-003","area:github, area:project, epic:E00, milestone:M0, priority:P1, size:M, type:task","The complete local backlog can be created in GitHub without losing IDs, dependencies, acceptance criteria, or evidence expectations, while GitHub remains the authority for live state.",planning/tickets/E00/HUD-005-prepare-github-issue-forms-labels-project-fields-and-mirror-protocol.md,planning/github/issue-bodies/HUD-005.md
HUD-006,Implement a renderer capability probe and compatibility report,E01,M0,P0,M,spike,planned,HUD-001,"area:renderer, backend:webgl, backend:webgpu, epic:E01, milestone:M0, priority:P0, size:M, type:spike","The library can distinguish WebGLRenderer, WebGPURenderer on a WebGPU backend, and WebGPURenderer on its WebGL2 fallback before selecting text or shape features.",planning/tickets/E01/HUD-006-implement-a-renderer-capability-probe-and-compatibility-report.md,planning/github/issue-bodies/HUD-006.md
HUD-007,Prove a state-safe Three.js HUD overlay pass on WebGL and WebGPU,E01,M0,P0,L,spike,planned,HUD-006,"area:renderer, epic:E01, milestone:M0, priority:P0, size:L, type:spike","A minimal orthographic HUD scene can render after an arbitrary game scene without clearing its color output, corrupting its viewport/scissor/render-target state, or owning the host animation loop.",planning/tickets/E01/HUD-007-prove-a-state-safe-three-js-hud-overlay-pass-on-webgl-and-webgpu.md,planning/github/issue-bodies/HUD-007.md
HUD-008,Port Windfoil font extraction and row-band preprocessing into an isolated TypeScript spike,E01,M0,P0,L,spike,planned,HUD-001,"area:research, area:text, backend:windfoil, epic:E01, milestone:M0, priority:P0, size:L, type:spike","A clean, typed preprocessing spike can convert permitted TTF/OTF glyph outlines into deduplicated quadratic segments and row-band data without copying application plumbing from Windfoil.",planning/tickets/E01/HUD-008-port-windfoil-font-extraction-and-row-band-preprocessing-into-an-isolated-typesc.md,planning/github/issue-bodies/HUD-008.md
HUD-009,Render Windfoil glyph instances through Three.js without private renderer patches,E01,M0,P0,XL,spike,planned,"HUD-007, HUD-008","area:text, backend:webgpu, backend:windfoil, epic:E01, milestone:M0, priority:P0, risk:high, size:XL, type:spike","Windfoil coverage renders as a normal Three.js HUD draw using public WebGPU/TSL or supported native-shader extension points, with storage data, instancing, blending, and camera transforms under library ownership.",planning/tickets/E01/HUD-009-render-windfoil-glyph-instances-through-three-js-without-private-renderer-patche.md,planning/github/issue-bodies/HUD-009.md
HUD-010,"Execute the typography zoom, DPR, clipping, and performance evidence matrix",E01,M0,P0,L,spike,planned,HUD-009,"area:quality, area:text, backend:windfoil, epic:E01, milestone:M0, priority:P0, size:L, type:spike","The risky analytic backend is evaluated under the actual HUD conditions that matter: tiny text, extreme zoom, fractional transforms, multiple DPR values, nested clipping, color blending, and dynamic glyph changes.",planning/tickets/E01/HUD-010-execute-the-typography-zoom-dpr-clipping-and-performance-evidence-matrix.md,planning/github/issue-bodies/HUD-010.md
HUD-011,Record the architecture gate verdict for the Windfoil backend,E01,M0,P0,S,decision,planned,"HUD-006, HUD-007, HUD-008, HUD-009, HUD-010","area:architecture, backend:windfoil, epic:E01, milestone:M0, priority:P0, size:S, type:decision","An ADR records one bounded verdict—production candidate, experimental adapter, or blocked research—based on evidence rather than enthusiasm, and the rest of the roadmap is adjusted accordingly.",planning/tickets/E01/HUD-011-record-the-architecture-gate-verdict-for-the-windfoil-backend.md,planning/github/issue-bodies/HUD-011.md
HUD-012,"Define the public core contracts, diagnostics, and error model",E02,M1,P0,L,task,planned,"HUD-004, HUD-011","area:api, area:core, epic:E02, milestone:M1, priority:P0, size:L, type:task","The public API has stable, serializable contracts for HUD options, nodes, layers, capabilities, diagnostics, errors, resource handles, and lifecycle states before implementation classes spread ad hoc shapes.",planning/tickets/E02/HUD-012-define-the-public-core-contracts-diagnostics-and-error-model.md,planning/github/issue-bodies/HUD-012.md
HUD-013,"Implement the retained HudNode tree, local transforms, and world bounds",E02,M1,P0,L,task,planned,HUD-012,"area:core, area:tree, epic:E02, milestone:M1, priority:P0, size:L, type:task","A deterministic retained tree supports parent/child ownership, visibility, opacity, 2D transform composition, local bounds, world bounds, and safe reparenting without renderer knowledge.",planning/tickets/E02/HUD-013-implement-the-retained-hudnode-tree-local-transforms-and-world-bounds.md,planning/github/issue-bodies/HUD-013.md
HUD-014,Implement dirty flags and bounded invalidation propagation,E02,M1,P0,L,task,planned,HUD-013,"area:core, area:performance, epic:E02, milestone:M1, priority:P0, size:L, type:task","Property changes invalidate only the necessary transform, layout, text, geometry, style, hit-test, or render-queue work, enabling efficient value updates and predictable debugging.",planning/tickets/E02/HUD-014-implement-dirty-flags-and-bounded-invalidation-propagation.md,planning/github/issue-bodies/HUD-014.md
HUD-015,Implement HudLayer and HUD root/controller ownership,E02,M1,P0,L,task,planned,"HUD-013, HUD-014","area:core, area:layers, epic:E02, milestone:M1, priority:P0, size:L, type:task","A HUD owns ordered layers, each with an independent viewport/scaling policy and root node, while the host owns the renderer and frame loop.",planning/tickets/E02/HUD-015-implement-hudlayer-and-hud-rootcontroller-ownership.md,planning/github/issue-bodies/HUD-015.md
